base_image,variant_file,index,mode,channel,psnr,ssim
nagaoka_fireworks.png,nagaoka_fireworks_8_normalX.png,8,normal,X,41.711443417085235,0.9749584309889832
rice.png,rice_1_invB.png,1,inv,B,54.8298549683191,0.9995768849178774
rice.png,rice_1_invG.png,1,inv,G,54.84649105225393,0.9992589364522839
rice.png,rice_1_invI.png,1,inv,I,55.56311390577578,0.9996185502344752
rice.png,rice_1_invR.png,1,inv,R,54.888186846184084,0.99936181857146
rice.png,rice_1_invX.png,1,inv,X,55.62225772657416,0.999403673189089
rice.png,rice_1_normalB.png,1,normal,B,54.81105188642849,0.9995773518240688
rice.png,rice_1_normalG.png,1,normal,G,54.794550746853545,0.9992601007286054
rice.png,rice_1_normalI.png,1,normal,I,55.54179961011332,0.9996192010598929
rice.png,rice_1_normalR.png,1,normal,R,54.75374014800896,0.9993581682116424
rice.png,rice_1_normalX.png,1,normal,X,55.48373418543342,0.9993991898375848
rice.png,rice_2_invB.png,2,inv,B,52.32747240583643,0.9994313183813646
rice.png,rice_2_invG.png,2,inv,G,52.346176909704624,0.9992965878263214
rice.png,rice_2_invI.png,2,inv,I,52.72401678418895,0.9994727699833305
rice.png,rice_2_invR.png,2,inv,R,52.39309621362882,0.9992615673077625
rice.png,rice_2_invX.png,2,inv,X,52.78555559976929,0.9993012833809992
rice.png,rice_2_normalB.png,2,normal,B,52.3063421706913,0.9994295072094084
rice.png,rice_2_normalG.png,2,normal,G,52.28780808160954,0.9992932457575254
rice.png,rice_2_normalI.png,2,normal,I,52.701847662241406,0.9994713771388426
rice.png,rice_2_normalR.png,2,normal,R,52.242006682791235,0.9992622551237615
rice.png,rice_2_normalX.png,2,normal,X,52.641475489212354,0.999300688394965
rice.png,rice_3_invB.png,3,inv,B,49.945108841757985,0.9993283908440495
rice.png,rice_3_invG.png,3,inv,G,49.96131485744911,0.998968232485761
rice.png,rice_3_invI.png,3,inv,I,50.169652760088745,0.9993692532392505
rice.png,rice_3_invR.png,3,inv,R,50.00192567380112,0.9994775886364794
rice.png,rice_3_invX.png,3,inv,X,50.22085491923381,0.9995108476753505
rice.png,rice_3_normalB.png,3,normal,B,49.926789920124236,0.9993264730058172
rice.png,rice_3_normalG.png,3,normal,G,49.9107119887908,0.9989699690705349
rice.png,rice_3_normalI.png,3,normal,I,50.15117760081267,0.9993682253187047
rice.png,rice_3_normalR.png,3,normal,R,49.87094136292228,0.999477709496771
rice.png,rice_3_normalX.png,3,normal,X,50.100785654469945,0.999511258836709
rice.png,rice_4_invB.png,4,inv,B,47.9273489308239,0.9992705175269094
rice.png,rice_4_invG.png,4,inv,G,47.94092291924581,0.9985368910357737
rice.png,rice_4_invI.png,4,inv,I,48.06700304081886,0.9993110427304769
rice.png,rice_4_invR.png,4,inv,R,47.97490188411928,0.999261605017214
rice.png,rice_4_invX.png,4,inv,X,48.10902767915961,0.9992918832702444
rice.png,rice_4_normalB.png,4,normal,B,47.911995302935935,0.9992694993674841
rice.png,rice_4_normalG.png,4,normal,G,47.89851128834439,0.9985329345032818
rice.png,rice_4_normalI.png,4,normal,I,48.051817629863464,0.9993111407128624
rice.png,rice_4_normalR.png,4,normal,R,47.865122502083686,0.9992602287348428
rice.png,rice_4_normalX.png,4,normal,X,48.010340338170394,0.9992876271581345
rice.png,rice_5_invB.png,5,inv,B,46.234929241482064,0.9992568364166494
rice.png,rice_5_invG.png,5,inv,G,46.25286819264615,0.9984085702660648
rice.png,rice_5_invI.png,5,inv,I,46.32858731247651,0.9992969808483122
rice.png,rice_5_invR.png,5,inv,R,46.30236060177222,0.9989715907529186
rice.png,rice_5_invX.png,5,inv,X,46.39417234429338,0.9990019109949397
rice.png,rice_5_normalB.png,5,normal,B,46.2178635134307,0.9992583334788966
rice.png,rice_5_normalG.png,5,normal,G,46.206446855339465,0.9983998986691627
rice.png,rice_5_normalI.png,5,normal,I,46.31209675190894,0.999299663853696
rice.png,rice_5_normalR.png,5,normal,R,46.17815227573823,0.9989681204494004
rice.png,rice_5_normalX.png,5,normal,X,46.27730948015993,0.9989898064855701
rice.png,rice_6_invB.png,6,inv,B,44.79194569406406,0.9992909927647742
